model_name,epochs,dice,loss,precision,recall
p4,0,1.219829443522862,-62.1651068006243,0.0,0.0
p4,500,1.4420196712068047,-130.49672319897905,0.0,0.0
p4,1000,1.448024474752771,-132.5050134476163,0.0,0.0
p4,1500,1.4500269890489594,-133.15429466256998,0.0,0.0
p4,2000,1.4510289442116233,-133.4804380131864,0.0,0.0
p4,2500,1.4516311738739869,-133.6866508942339,0.0,0.0
p4,3000,1.4520318268117989,-133.80953507440879,0.0,0.0
